Age Gender University_GPA Internships_Completed Soft_Skills_Score Networking_Score Job_Offers Starting_Salary Career_Satisfaction
27 Female 3.19 2 7 9 0 51000.0 5
22 Male 2.84 1 6 5 2 34600.0 8
26 Female 2.31 1 4 5 0 49100.0 6
25 Female 2.94 1 2 7 3 45300.0 7
20 Female 3.38 2 7 10 1 52300.0 6
18 Male 3.6 1 8 8 4 49400.0 7
20 Female 2.99 4 9 6 5 62200.0 3
21 Female 2.33 1 9 5 3 46900.0 3
19 Female 2.83 2 4 1 5 69100.0 10
18 Female 3.57 2 3 10 4 25000.0 3
24 Female 2.83 3 5 10 2 69400.0 10
25 Male 3.39 1 6 10 2 29300.0 6
24 Female 3.01 2 8 9 0 62300.0 1
22 Female 2.48 1 3 6 4 60100.0 9
29 Female 3.59 0 6 3 2 33900.0 9
18 Male 2.17 4 5 10 2 68400.0 4
24 Female 3.05 4 7 7 5 32200.0 2
24 Female 2.42 1 9 4 5 30200.0 7
26 Male 2.13 4 7 3 4 43300.0 7
20 Female 3.01 4 6 7 2 44000.0 6
26 Female 3.0 0 9 6 0 40900.0 8
18 Female 3.41 4 10 4 2 51100.0 3
18 Male 3.49 4 4 10 3 55600.0 2
21 Male 3.46 2 1 8 3 48800.0 10
26 Female 2.82 4 8 2 0 32600.0 1
23 Male 3.26 1 6 6 3 37200.0 3
28 Female 3.15 4 6 3 5 81600.0 8
20 Female 2.84 1 5 8 2 34200.0 8
18 Female 3.19 4 10 8 3 34800.0 7
21 Male 3.89 1 3 1 3 26700.0 2
29 Female 2.39 4 6 2 2 64600.0 3
26 Male 3.81 1 1 4 4 64400.0 7
20 Male 2.11 4 7 1 0 56000.0 8
29 Male 2.62 0 6 3 4 69300.0 9
26 Male 2.58 2 5 4 4 39200.0 6
24 Other 3.25 2 3 10 3 32700.0 10
29 Other 2.26 2 8 3 1 54100.0 3
21 Male 3.76 2 4 5 4 57100.0 9
20 Female 3.66 0 9 10 2 52900.0 5
27 Male 3.3 0 9 7 2 45400.0 4
22 Female 2.92 4 5 8 2 65400.0 9
22 Female 3.87 0 7 8 1 49300.0 10
20 Female 3.66 2 6 2 1 53800.0 2
29 Male 3.0 3 6 1 5 49600.0 10
26 Female 3.4 4 4 6 0 42600.0 4
21 Male 3.13 1 10 1 1 34100.0 6
28 Other 3.18 2 8 6 0 56300.0 6
22 Male 2.66 2 10 7 5 25000.0 10
21 Female 2.92 2 3 9 2 40500.0 5
22 Female 2.16 0 5 10 1 42500.0 10
24 Female 2.71 1 1 10 3 31800.0 7
26 Male 3.39 4 1 1 5 45600.0 5
24 Female 3.91 2 9 7 3 56700.0 6
22 Male 3.93 1 4 4 3 51900.0 1
27 Female 3.11 3 9 9 1 41400.0 8
27 Male 3.21 0 7 4 1 59300.0 5
24 Male 2.37 2 10 2 1 54000.0 5
27 Female 3.39 1 8 1 3 32800.0 10
22 Male 2.14 1 9 7 2 38400.0 6
20 Male 2.57 2 1 7 4 28800.0 6
24 Male 3.34 1 7 3 2 44800.0 8
28 Male 2.62 1 8 5 1 40000.0 4
28 Female 2.1 4 2 10 4 46600.0 4
19 Female 3.66 0 10 7 5 79000.0 3
29 Male 2.62 4 9 8 4 25500.0 9
26 Male 2.13 0 1 9 2 25000.0 8
27 Male 2.15 0 3 10 3 72400.0 5
27 Male 2.5 4 9 10 0 57900.0 8
29 Female 2.36 2 1 1 3 64600.0 6
18 Female 3.55 1 4 9 3 44800.0 5
23 Male 2.64 3 10 6 4 60300.0 9
24 Male 3.61 4 6 6 1 48100.0 9
25 Male 2.35 4 6 7 1 63000.0 8
27 Female 2.99 2 4 9 4 65300.0 10
26 Other 3.38 1 10 7 3 63900.0 3
19 Male 3.3 4 10 7 2 40200.0 9
28 Male 3.2 3 10 3 5 51400.0 6
27 Female 3.85 1 10 10 0 35600.0 9
19 Female 2.46 4 1 9 3 58300.0 1
22 Male 2.99 4 5 4 3 55100.0 1
22 Male 3.77 0 5 6 0 26100.0 6
23 Male 2.16 0 3 7 2 56900.0 4
20 Female 2.11 4 3 9 0 56500.0 5
25 Male 2.47 2 4 10 4 58500.0 5
18 Male 3.27 0 3 3 0 50700.0 3
23 Female 2.52 4 3 2 0 58500.0 9
21 Male 2.38 1 3 2 3 54700.0 1
18 Female 2.92 3 7 2 3 36600.0 6
24 Male 3.23 0 9 9 1 59500.0 2
26 Male 2.5 4 1 8 0 35700.0 2
21 Female 2.6 0 8 9 4 34000.0 9
21 Male 3.23 1 10 9 1 53200.0 10
23 Other 3.89 2 1 1 5 25000.0 2
29 Female 3.35 4 9 10 0 40000.0 9
20 Male 3.57 1 8 10 3 45300.0 8
29 Female 2.73 3 6 9 4 69900.0 7
23 Male 2.54 4 6 1 2 46800.0 8
24 Female 2.91 3 10 5 1 78900.0 9
28 Male 3.61 2 7 4 3 27700.0 10
27 Female 2.91 4 8 8 2 57100.0 9
27 Male 3.69 4 7 5 0 59700.0 3
20 Male 3.98 1 1 9 4 36200.0 10
24 Female 2.14 0 10 1 3 48600.0 1
20 Female 2.09 4 4 8 3 48400.0 8
19 Male 2.3 2 4 6 4 66300.0 10
29 Male 2.77 4 9 1 3 28400.0 4
27 Female 2.26 4 9 2 3 78200.0 5
21 Female 3.74 4 3 4 0 25000.0 6
29 Male 2.05 4 9 5 1 56400.0 6
25 Male 2.63 2 5 1 2 36900.0 7
26 Male 2.37 1 6 10 5 57200.0 10
24 Female 3.86 0 7 7 4 40100.0 3
18 Male 3.34 2 3 4 2 70200.0 2
20 Male 3.82 2 4 1 4 51500.0 9
29 Female 3.94 3 5 6 5 43700.0 2
26 Male 2.99 0 1 9 4 33200.0 9
29 Female 2.47 1 8 9 3 55800.0 10
18 Male 2.39 1 7 4 5 56800.0 4
26 Male 2.45 3 2 7 5 44600.0 1
25 Male 3.42 3 7 10 0 50400.0 3
18 Female 2.08 2 9 1 4 54200.0 10
23 Male 2.1 1 5 10 5 59600.0 2
22 Female 3.22 1 6 9 2 35000.0 4
23 Female 3.28 1 5 1 1 43100.0 2
27 Female 3.33 2 1 9 2 59200.0 10
29 Male 2.74 1 6 6 5 48400.0 6
22 Male 3.61 4 7 10 0 25000.0 10
23 Male 3.07 3 5 7 1 73900.0 1
22 Male 2.21 3 3 4 3 62700.0 5
28 Male 3.59 3 6 9 2 25000.0 9
29 Female 3.91 3 7 6 2 40100.0 1
22 Male 2.12 4 10 6 5 73600.0 4
21 Male 2.78 0 10 10 4 56800.0 2
20 Male 2.98 1 9 6 4 28400.0 2
20 Female 2.29 3 7 4 1 25000.0 5
21 Male 3.74 1 3 7 3 25000.0 2
26 Female 2.57 1 1 2 4 42600.0 5
19 Male 3.57 4 7 2 5 60000.0 1
26 Female 3.34 1 8 6 2 27000.0 5
18 Female 3.2 3 1 9 1 58500.0 3
18 Male 2.38 1 5 3 4 36800.0 2
22 Male 2.44 4 8 7 4 25000.0 4
23 Male 2.09 3 10 9 0 44800.0 1
23 Male 2.48 4 7 9 1 79600.0 3
20 Female 2.69 2 2 3 1 70200.0 1
24 Female 3.67 0 4 1 5 42500.0 8
26 Female 2.73 1 6 2 3 53100.0 5
28 Female 3.51 1 7 8 4 41300.0 1
29 Male 2.88 1 7 7 1 25000.0 2
27 Male 3.57 2 3 1 5 40900.0 9
25 Female 3.95 0 8 3 3 59600.0 7
23 Male 2.48 4 7 8 4 32300.0 3
29 Female 3.72 2 4 7 2 66100.0 1
25 Male 3.24 2 10 5 0 66700.0 2
29 Male 3.63 3 4 3 3 43200.0 7
22 Other 3.3 2 4 7 0 51700.0 8
25 Male 2.85 2 5 5 2 69500.0 5
27 Other 2.46 1 2 1 1 55400.0 4
29 Other 2.14 3 9 5 4 71900.0 10
21 Female 3.07 4 6 3 1 25000.0 4
27 Female 3.98 0 8 2 0 41300.0 5
25 Female 3.48 4 1 3 1 45100.0 7
27 Female 2.65 3 6 10 1 68700.0 7
29 Male 3.65 1 6 4 3 50000.0 4
19 Male 3.54 0 8 1 5 38900.0 1
29 Female 2.56 4 1 4 3 48300.0 5
29 Male 2.03 0 5 9 2 57800.0 7
22 Male 2.24 0 3 1 3 45300.0 4
26 Male 3.75 0 6 7 3 62600.0 7
21 Female 3.67 2 9 8 3 51700.0 8
28 Female 2.59 3 10 9 3 45500.0 2
23 Male 2.57 3 3 7 5 67700.0 2
18 Female 3.59 1 9 9 2 71600.0 5
26 Female 3.88 4 9 10 3 67500.0 3
18 Female 3.56 1 1 3 3 37900.0 4
22 Female 3.21 4 2 1 0 67900.0 1
21 Female 2.49 0 4 2 3 65000.0 4
29 Male 3.05 4 7 10 2 32800.0 4
20 Female 2.47 4 2 1 5 45000.0 4
23 Male 3.62 0 7 2 2 68700.0 3
19 Female 2.77 1 5 9 1 64300.0 2
20 Other 3.67 4 10 5 3 42100.0 4
22 Male 2.76 1 7 4 4 33700.0 8
26 Male 3.65 1 9 2 1 69500.0 3
19 Female 2.67 3 9 3 2 58400.0 6
27 Male 2.88 0 3 9 1 50500.0 2
25 Female 3.23 0 3 3 4 38000.0 1
19 Male 2.14 2 7 8 0 60800.0 7
28 Male 3.9 1 5 1 4 34500.0 6
22 Other 3.15 2 5 5 5 36400.0 10
24 Female 3.02 0 5 2 5 56000.0 4
25 Female 3.68 0 9 4 1 64800.0 7
18 Male 3.73 2 4 2 3 52100.0 6
23 Female 3.04 0 6 3 0 44600.0 2
18 Female 3.85 0 6 5 5 63300.0 4
19 Female 2.13 3 7 2 4 32700.0 9
18 Female 2.23 4 2 9 3 35700.0 8
28 Female 3.19 3 6 8 4 66300.0 6
22 Male 2.71 4 9 5 2 32300.0 1
27 Male 2.93 3 3 1 3 25000.0 7
26 Female 2.66 3 2 5 2 35200.0 1
23 Male 2.81 1 8 4 0 66300.0 8
28 Female 3.65 2 1 9 0 63400.0 3
28 Male 3.19 3 8 2 0 28000.0 9
18 Female 3.99 1 5 7 0 37700.0 5
18 Female 3.57 3 9 2 2 27700.0 6
19 Male 2.55 2 9 3 2 59500.0 4
26 Male 2.53 1 4 3 5 31700.0 6
20 Male 2.67 4 1 10 1 56800.0 9
18 Female 3.69 2 5 8 1 46900.0 7
22 Female 2.05 0 7 2 2 51400.0 2
24 Male 2.46 1 9 1 0 25000.0 6
23 Female 3.81 0 10 6 1 63400.0 9
29 Male 3.28 1 9 6 3 73200.0 8
18 Male 2.45 4 9 1 2 72200.0 1
22 Female 2.44 1 6 5 3 51000.0 5
22 Male 3.73 3 2 9 0 25000.0 6
23 Male 3.79 0 5 10 5 44600.0 9
20 Male 2.51 0 3 10 2 54000.0 4
22 Male 2.84 1 6 5 1 52000.0 1
24 Male 3.67 3 5 7 5 26800.0 6
22 Male 3.54 3 10 6 1 60700.0 9
22 Female 3.63 1 1 10 3 61600.0 6
22 Male 3.04 2 10 4 2 61600.0 7
27 Female 3.82 4 10 2 5 39200.0 10
27 Male 2.65 1 2 10 0 28300.0 4
20 Male 2.31 3 5 5 4 42700.0 2
18 Female 3.42 4 6 10 4 67700.0 3
22 Other 3.08 1 1 9 5 35500.0 1
26 Male 3.71 4 7 3 0 37000.0 2
18 Female 2.16 2 3 3 1 34100.0 7
20 Female 3.69 3 1 7 4 43700.0 9
21 Female 2.59 2 7 10 0 56200.0 9
18 Female 3.31 2 7 2 5 60200.0 9
18 Male 2.08 3 10 8 5 31100.0 1
25 Male 3.22 2 3 7 5 65200.0 7
19 Female 3.43 1 6 8 3 67300.0 7
29 Male 2.74 1 4 10 1 45700.0 9
25 Female 2.43 4 4 6 0 29200.0 9
24 Male 3.08 1 9 5 5 68900.0 1
27 Male 3.67 1 7 4 3 55600.0 10
27 Female 2.65 4 6 8 2 78600.0 5
19 Male 2.5 0 9 2 4 28400.0 2
23 Female 2.56 3 3 6 4 54400.0 6
23 Female 3.9 1 4 10 4 72000.0 2
20 Female 2.72 4 9 6 0 57000.0 6
28 Female 2.01 2 4 5 2 25000.0 7
19 Female 3.56 2 7 2 0 25000.0 6
29 Female 3.4 1 9 5 5 77000.0 1
18 Female 2.26 3 4 3 0 40800.0 4
23 Male 3.97 4 9 7 2 57200.0 3
29 Male 3.22 4 7 7 5 30500.0 5
22 Male 3.0 4 4 8 5 41500.0 7
28 Male 2.76 4 3 10 3 64300.0 3
26 Female 3.8 4 6 9 5 54200.0 1
18 Female 2.49 3 3 1 1 43200.0 9
24 Female 2.57 4 7 4 4 62000.0 6
22 Male 2.24 3 1 6 2 49200.0 6
22 Female 3.52 3 7 7 3 65000.0 4
19 Male 3.19 3 3 5 5 43600.0 1
28 Female 3.22 2 9 6 2 54400.0 9
20 Female 2.44 0 6 1 1 80000.0 10
24 Male 3.3 1 7 5 2 52400.0 7
23 Male 3.53 2 9 2 2 60400.0 10
29 Male 2.72 0 6 2 3 25000.0 7
19 Female 3.6 2 10 1 4 52200.0 7
23 Female 2.7 3 2 10 4 53100.0 7
19 Female 3.52 3 6 9 3 31800.0 8
19 Male 2.07 4 6 4 3 45900.0 8
19 Male 3.1 3 2 4 0 45600.0 3
28 Female 3.94 2 7 9 0 33300.0 8
20 Female 3.96 1 9 5 1 42400.0 4
19 Male 2.56 3 10 4 0 81700.0 7
21 Male 2.88 0 4 7 0 50300.0 5
26 Female 2.13 2 5 5 2 54700.0 4
23 Male 3.75 0 6 8 2 78300.0 4
18 Male 3.14 4 1 3 3 25000.0 6
25 Male 2.77 4 8 8 5 82300.0 2
29 Female 2.23 1 9 6 4 61200.0 5
24 Female 3.89 2 1 9 1 31500.0 8
27 Female 3.06 1 4 6 0 31400.0 2
20 Female 2.57 0 6 4 2 62000.0 5
18 Female 2.7 1 10 2 4 61600.0 7
22 Male 2.54 0 1 3 0 56500.0 5
21 Female 3.2 1 3 7 5 35800.0 10
27 Male 3.86 4 7 10 4 53500.0 9
25 Female 3.71 2 8 5 2 40300.0 9
18 Male 2.92 1 8 7 3 45900.0 8
27 Male 3.65 0 5 7 5 35200.0 9
18 Male 2.85 2 1 6 5 39800.0 2
29 Male 2.5 4 1 2 0 25000.0 3
21 Male 3.97 4 8 5 0 72500.0 4
25 Male 2.61 3 5 10 1 37300.0 5
22 Other 2.65 2 9 6 0 70600.0 10
19 Male 3.98 1 1 8 2 43200.0 2
23 Female 2.27 4 2 1 4 41100.0 10
22 Female 3.52 1 4 10 5 25000.0 4
19 Other 3.87 1 10 7 4 78600.0 4
28 Female 3.02 0 7 5 3 65700.0 5
28 Female 2.01 1 4 7 5 35800.0 6
28 Male 2.75 3 8 3 5 63800.0 1
20 Male 2.22 2 7 4 3 66100.0 6
26 Male 2.83 2 5 2 2 53100.0 9
24 Female 3.58 0 7 6 4 52600.0 3
24 Female 2.88 3 8 5 5 49800.0 2
28 Male 2.86 3 3 1 3 38300.0 8
23 Male 3.11 2 3 1 5 44000.0 2
25 Female 3.16 3 2 8 3 35500.0 8
21 Male 3.71 4 4 8 1 65500.0 10
25 Female 2.62 1 4 6 1 74900.0 4
21 Female 3.64 1 4 9 2 55400.0 9
25 Female 3.13 2 2 1 2 42100.0 4
26 Female 2.6 2 7 10 2 43300.0 1
20 Female 2.59 3 10 8 2 55300.0 8
20 Female 2.72 0 3 2 4 58400.0 1
28 Female 3.25 2 10 8 0 52200.0 5
19 Female 2.46 2 1 3 2 39200.0 7
27 Male 3.84 2 2 6 1 67600.0 3
20 Male 3.15 3 5 7 5 51900.0 6
20 Male 3.84 4 9 3 0 56900.0 1
22 Male 2.09 2 4 2 0 25000.0 6
22 Female 2.69 4 6 1 4 46700.0 5
19 Female 2.05 3 3 5 3 60700.0 2
29 Male 2.54 0 9 1 5 31500.0 4
27 Male 3.72 1 2 1 5 25000.0 7
23 Other 2.07 1 8 5 0 67000.0 6
22 Male 2.87 1 3 3 4 51900.0 10
23 Male 2.24 1 8 10 4 53000.0 6
18 Female 2.83 3 3 3 4 56000.0 9
22 Female 3.68 1 4 7 2 53900.0 2
26 Male 3.25 3 8 3 5 25000.0 1
29 Male 3.47 0 10 2 3 43900.0 2
27 Male 2.7 2 4 3 2 47900.0 3
19 Female 3.89 2 9 4 1 52400.0 9
18 Female 3.42 2 9 9 3 50400.0 10
27 Male 2.84 3 6 2 2 43500.0 9
28 Female 2.85 3 1 6 3 63200.0 5
26 Female 3.84 3 9 5 1 45700.0 7
27 Male 3.15 0 9 6 2 52800.0 3
26 Female 3.41 4 7 5 3 73900.0 10
26 Female 2.83 3 9 6 1 28400.0 2
23 Male 2.45 3 8 4 5 25000.0 6
25 Male 3.45 2 9 8 4 55100.0 6
28 Female 3.22 1 9 9 3 58800.0 5
18 Female 3.0 1 7 10 1 82700.0 1
27 Female 3.25 0 6 7 5 50500.0 10
21 Female 2.42 1 2 1 4 47400.0 2
18 Female 3.59 4 7 5 1 42100.0 7
25 Male 3.9 2 1 7 5 66300.0 10
18 Female 3.78 0 6 5 5 57600.0 2
20 Male 2.64 1 6 5 5 62300.0 5
21 Male 2.81 1 7 5 0 54100.0 10
25 Female 3.62 2 2 5 1 62900.0 4
23 Female 3.19 0 4 5 2 71100.0 10
27 Male 3.1 2 2 1 2 58900.0 1
29 Female 3.85 0 4 6 2 41900.0 5
24 Male 3.07 1 3 6 2 35500.0 1
25 Male 3.03 2 2 8 5 52300.0 3
19 Male 2.08 2 2 5 5 72700.0 9
27 Female 2.14 4 3 2 0 53100.0 7
28 Female 2.01 2 10 7 0 25100.0 2
25 Male 3.83 0 4 1 0 76700.0 5
20 Female 2.82 4 7 5 4 56900.0 4
24 Male 2.94 2 4 5 3 48600.0 7
20 Female 3.69 2 7 3 2 47500.0 4
24 Male 3.22 4 4 2 3 25000.0 9
28 Male 3.22 1 3 4 2 37600.0 3
29 Female 2.59 2 8 7 2 37300.0 6
19 Male 3.67 3 3 10 2 59400.0 5
27 Male 2.33 1 8 3 0 46800.0 10
23 Female 2.11 2 2 6 5 66400.0 8
20 Other 2.38 1 3 7 4 25000.0 1
20 Male 2.54 0 4 2 2 83900.0 10
26 Male 2.56 1 3 3 2 68600.0 2
24 Male 3.34 4 6 9 2 56400.0 7
22 Female 2.44 2 9 1 1 44800.0 1
29 Male 3.35 1 10 8 2 61800.0 5
27 Female 2.18 3 8 1 0 51300.0 8
24 Other 2.29 0 4 3 0 47000.0 10
26 Male 3.02 0 2 6 3 61200.0 5
18 Male 3.84 1 10 8 5 63000.0 5
24 Male 3.72 4 1 7 5 55300.0 9
23 Male 3.94 0 4 3 0 42800.0 5
27 Female 3.3 1 5 6 3 48200.0 1
29 Male 3.35 1 2 1 4 29800.0 3
26 Male 3.25 0 3 8 1 29000.0 5
18 Female 3.25 1 4 9 0 41000.0 8
21 Male 2.29 1 3 9 2 64500.0 10
26 Female 3.09 3 8 4 4 51800.0 2
21 Male 2.77 1 2 4 2 64300.0 4
27 Female 2.89 1 9 7 3 69400.0 4
20 Female 3.05 4 6 7 3 55400.0 3
26 Female 2.26 0 1 6 1 34400.0 6
19 Female 2.72 4 8 7 4 62200.0 10
21 Male 2.13 2 10 1 3 33000.0 2
23 Male 3.96 4 6 9 2 42000.0 3
19 Female 2.24 2 4 6 5 70300.0 2
25 Female 2.52 2 6 8 0 49900.0 10
25 Male 3.78 4 2 5 0 56900.0 8
18 Male 2.97 3 1 7 5 25000.0 2
29 Male 2.27 4 6 3 4 45200.0 5
20 Male 2.77 0 8 10 4 54200.0 4
27 Male 2.23 4 5 1 3 51400.0 1
26 Female 2.4 3 8 7 0 61800.0 7
22 Male 2.1 4 3 5 5 40500.0 6
23 Male 2.88 3 6 1 1 67200.0 10
21 Female 3.61 0 1 9 5 43100.0 1
27 Female 3.17 1 3 9 1 50300.0 9
19 Female 3.21 3 4 6 5 35200.0 4
28 Female 2.4 3 5 9 5 58300.0 1
25 Male 2.69 3 3 7 5 38600.0 8
28 Female 3.69 0 8 8 5 53900.0 1
23 Female 2.18 2 5 2 5 62200.0 2
22 Male 3.72 3 7 2 5 63800.0 5
26 Female 2.97 0 5 4 1 89300.0 1
18 Female 3.67 1 8 1 1 50100.0 1
22 Male 2.64 3 1 8 3 45400.0 6
23 Male 2.68 2 3 5 5 40600.0 1
22 Male 3.5 0 3 7 2 59200.0 5
23 Male 3.57 1 10 2 1 48100.0 10
23 Male 2.46 2 10 5 3 37300.0 5
24 Female 3.95 1 3 9 1 36900.0 2
21 Male 2.17 2 6 9 1 68800.0 3
28 Female 2.14 4 9 2 5 63200.0 3
25 Female 3.19 4 6 2 2 69800.0 3
24 Female 3.45 4 5 5 1 28600.0 3
26 Female 3.92 1 1 3 3 44600.0 4
24 Male 2.81 4 2 1 5 36300.0 10
20 Male 2.05 0 1 1 3 52000.0 1
20 Female 3.21 0 6 5 0 38100.0 4
25 Female 2.58 4 3 3 4 71000.0 4
22 Female 2.87 2 5 9 1 44600.0 8
21 Male 2.98 2 6 3 5 77800.0 4
25 Female 2.13 1 5 3 1 62900.0 5
23 Male 2.97 2 3 3 3 63600.0 4
19 Female 2.85 3 2 1 1 75900.0 5
21 Other 3.43 2 2 3 5 51000.0 3
29 Male 3.29 0 2 5 3 62600.0 3
28 Female 2.37 2 10 8 0 54700.0 8
21 Male 2.41 1 4 7 5 38200.0 1
23 Male 2.5 2 4 4 1 40500.0 3
23 Female 2.36 1 3 4 5 47000.0 2
18 Female 3.31 3 8 4 5 56700.0 10
25 Female 3.99 4 4 8 0 61300.0 6
23 Female 3.3 3 8 8 0 58400.0 8
20 Female 3.21 0 3 2 4 58700.0 6
26 Female 2.82 3 2 7 3 45800.0 4
19 Female 2.63 3 8 5 0 25000.0 3
28 Male 3.82 0 6 2 3 61500.0 4
25 Other 3.94 0 2 3 4 38000.0 8
27 Male 2.99 4 7 7 3 82300.0 9
20 Female 2.58 4 10 6 5 55200.0 8
29 Male 3.54 2 7 6 4 70700.0 9
22 Male 2.26 1 4 7 1 33500.0 8
23 Male 3.53 0 8 6 4 66900.0 5
27 Female 3.64 3 3 2 4 60700.0 5
23 Male 2.25 3 9 8 4 55700.0 1
21 Male 3.95 4 5 7 2 34200.0 8
20 Female 3.97 1 3 6 0 39400.0 2
21 Female 3.87 0 9 5 3 59800.0 6
18 Male 2.99 4 2 6 5 39400.0 6
21 Male 2.49 1 2 3 3 37600.0 10
18 Male 3.16 0 3 2 2 42400.0 4
29 Male 2.84 3 9 9 1 57500.0 9
18 Female 2.41 3 10 1 5 71300.0 3
27 Female 2.85 4 3 2 0 56200.0 8
23 Female 3.33 1 5 10 0 68300.0 2
22 Male 2.14 3 9 10 0 47900.0 5
28 Female 2.67 1 10 1 0 80600.0 6
21 Female 2.04 4 6 8 2 70000.0 2
28 Female 3.5 2 6 4 3 63400.0 7
20 Female 3.28 1 1 6 1 56900.0 5
18 Female 2.13 1 2 5 5 56000.0 10
23 Female 3.93 4 9 8 5 27600.0 4
19 Male 2.05 2 8 10 1 26900.0 4
25 Female 3.18 3 2 7 1 59800.0 2
27 Female 3.55 0 5 1 2 51100.0 9
22 Female 3.58 4 5 8 2 58400.0 1
24 Male 2.07 0 6 4 4 33100.0 1
27 Female 3.81 2 4 7 2 72800.0 4
29 Female 3.84 2 9 3 0 47000.0 3
19 Male 3.12 1 5 2 3 55700.0 9
25 Male 2.96 0 4 1 1 42500.0 7
19 Female 2.09 0 9 10 2 54900.0 2
21 Female 3.12 2 2 5 3 85700.0 4
18 Female 2.82 0 2 3 0 67400.0 5
22 Male 3.55 3 3 3 2 41500.0 10
26 Female 2.81 2 10 8 2 34900.0 4
18 Male 3.37 1 4 1 3 55300.0 4
26 Male 2.2 1 10 2 5 45000.0 4
28 Male 2.27 1 9 1 5 39800.0 8
25 Male 2.28 0 5 7 0 79800.0 7
23 Male 2.09 2 2 4 2 25000.0 4
24 Male 3.08 1 3 3 3 60700.0 1
20 Male 3.59 2 8 3 0 79100.0 6
18 Male 3.22 0 6 10 2 32600.0 5
22 Female 3.15 3 5 3 5 43700.0 5
29 Female 3.36 3 4 2 2 45100.0 6
29 Male 2.68 3 4 5 1 74100.0 8
19 Female 2.72 0 8 1 4 49600.0 6
22 Male 2.63 1 6 5 0 80700.0 6
25 Female 3.42 0 5 10 3 62800.0 7
28 Male 2.32 2 5 8 1 44700.0 8
26 Male 2.03 3 6 7 2 33100.0 4
19 Female 3.19 2 3 3 3 34800.0 7
29 Female 3.88 0 7 9 1 59900.0 8
20 Female 3.22 4 1 10 1 88500.0 6
20 Female 3.57 4 5 7 5 42900.0 9
18 Female 3.35 0 6 1 5 40400.0 6
25 Male 2.99 1 2 6 4 59800.0 4
23 Male 3.44 2 2 4 5 47100.0 6
29 Male 3.65 0 9 6 1 43000.0 2
25 Male 2.45 0 2 3 0 73300.0 8
28 Female 2.67 4 3 5 4 72900.0 6
26 Female 2.45 3 1 3 4 54300.0 4
22 Male 2.9 3 9 7 2 40200.0 7
29 Female 3.77 1 1 5 2 55800.0 8
20 Female 2.69 1 4 4 0 65400.0 3
22 Male 2.75 1 7 10 3 70200.0 10
22 Male 3.72 4 2 7 5 66900.0 3
22 Male 3.03 0 8 7 5 25000.0 10
20 Male 3.07 1 8 10 0 57400.0 3
28 Male 3.72 4 3 9 4 61600.0 3
27 Female 2.98 2 4 3 2 63900.0 2
21 Male 3.36 0 7 10 0 55400.0 5
26 Male 2.17 2 5 8 2 50600.0 6
27 Other 2.36 3 5 7 0 45600.0 1
26 Female 2.81 3 2 9 5 38100.0 6
19 Female 2.99 0 6 2 0 40500.0 7
25 Male 3.93 1 4 6 1 70700.0 2
25 Male 3.94 0 5 5 0 60700.0 1
24 Female 3.7 1 5 3 2 62400.0 7
25 Male 2.63 3 2 7 0 41500.0 6
20 Male 3.93 0 8 5 3 58000.0 3
23 Female 3.38 0 1 6 5 77600.0 2
18 Female 2.79 1 2 4 5 52100.0 2
24 Male 3.4 3 7 7 1 61900.0 2
18 Female 2.03 3 7 7 0 42400.0 8
26 Male 2.29 1 2 5 3 44200.0 1
18 Male 3.66 1 1 7 2 54300.0 3
18 Male 3.29 1 10 7 3 39600.0 8
24 Male 2.73 3 1 10 5 38800.0 6
19 Male 3.0 3 1 8 1 47500.0 7
22 Female 3.81 0 6 1 2 53100.0 2
25 Female 3.26 3 10 4 0 40800.0 9
25 Female 2.8 2 7 1 0 52600.0 7
20 Male 2.24 2 2 3 3 33200.0 3
24 Male 2.59 1 6 8 0 52500.0 9
20 Male 3.96 1 4 7 2 25000.0 3
23 Male 2.87 1 9 3 5 66200.0 10
23 Male 2.94 0 8 4 2 26700.0 8
20 Female 3.0 2 8 2 0 73300.0 7
24 Female 3.77 2 2 2 3 56400.0 3
20 Female 3.21 3 5 5 0 58900.0 5
25 Male 3.39 2 2 2 5 43400.0 7
27 Female 2.78 3 3 7 4 58100.0 3
21 Male 2.06 0 8 1 0 52800.0 2
18 Male 3.86 1 5 9 1 32700.0 9
21 Male 3.9 1 4 10 0 61600.0 2
24 Female 3.9 3 5 1 5 37500.0 3
28 Other 3.89 4 8 1 4 85100.0 1
21 Male 3.63 3 10 9 1 38200.0 1
23 Female 3.37 0 7 7 3 25700.0 1
26 Female 3.69 2 6 10 1 75400.0 10
18 Male 3.2 3 2 4 2 61700.0 3
22 Male 2.27 0 10 3 5 56800.0 6
28 Male 2.78 1 5 5 4 41700.0 10
24 Other 3.94 4 10 2 2 51000.0 3
18 Male 2.7 4 9 6 2 47600.0 4
21 Female 3.74 3 9 6 1 63400.0 2
23 Male 2.19 2 9 1 1 41100.0 7
19 Female 2.67 3 3 10 2 42500.0 4
27 Male 2.7 4 9 9 5 60800.0 1
22 Female 2.1 4 9 1 3 69900.0 4
28 Female 2.24 1 5 6 0 44200.0 4
27 Female 2.39 2 6 7 0 59700.0 3
18 Female 3.68 2 7 8 4 65600.0 8
23 Male 2.13 4 10 2 1 36200.0 7
23 Female 2.6 4 10 8 0 45800.0 10
21 Male 2.02 3 10 10 3 25000.0 10
25 Male 3.39 3 6 2 4 80900.0 3
